respondent_id,profile_level,format,experience,scenario_order,cat_1,cat_2,cat_3,cat_4,lying_1,lying_2,lying_3,lying_4,stealing_1,stealing_2,stealing_3,stealing_4
R0072,IIR2,comic,moderate,Lying|Stealing|Cat,He kept the cat because he needed a good friend to be there for him.,"Because animals usually make really good pets when you are feeling sad, and they always know how to cheer you up.",The lesson is to be nice to animals and don't listen to what bullies say.,"I think that because in real life, bullies try to make you feel bad about what you like. It's better to just help animals instead of caring about mean kids.","She didn't want to be a snitch. When someone is your friend, you usually cover for them so they don't get in trouble.","Because in real life, nobody wants to get their friends in trouble. People value loyalty over following the rules sometimes.",You shouldn't cheat because it puts your friends in a really awkward position where they have to lie.,"Because usually when someone does something wrong like cheating, it ends up dragging innocent people into the mess and stressing them out.",He kept it because he was being greedy and really wanted to buy something expensive that he didn't have the money for.,"Because usually when people find a lot of money and they really want to buy something big, they might be tempted to just take it.",The lesson is that you shouldn't steal from other people or lie to their face.,"In real life, keeping someone's lost wallet is basically stealing, and we all know it's wrong to take things that don't belong to you."
R0073,IIR3,comic,little,Lying|Stealing|Cat,He kept the cat because the cat actually cared about him when he was crying on the bench. He saw it freezing in the rain and realized animals can be better friends than mean people.,"The comic shows the cat trying to cheer him up, and then the other kids just make fun of him. Usually when you feel lonely and kids are being jerks to you, you want to protect a loyal pet that actually loves you.",Maybe the lesson is to stand up to bullies and pick real friends. The cat was a lot nicer to the boy than those mean kids were.,"I thought of that because the kids in the story were laughing at the poor cat in the cold rain. In the real world, bullies who act like that aren't good friends, so you shouldn't care if they let you play basketball or not.","Um, Sarah doesn't tell because Rachel is her best friend. Rachel tells her to shush, and usually you don't snitch on your friends because then they might get mad and not like you anymore.","The comic shows Rachel reminding Sarah they are best friends. Plus, I know from school that if you tell on a friend, it can ruin your friendship.","Maybe the lesson is that cheating makes things hard for your friends. Rachel didn't study and cheated, and then she made Sarah have to lie.","I thought of this because in the comic Sarah had to lie to the teacher. In real life, it's not cool to make your friends cover for you just because you did something bad.","He kept it cause he saw $300 in it. His mom said no to the bike, so he probably decided to take the money to buy it himself.","It says he saw the 300 dollars and thought of the red bike. I think that when people get told no, they sometimes make bad choices and steal to get what they want.",Maybe the lesson is don't steal things just because you are mad you didn't get your way.,"Well, the comic shows him keeping the wallet after his parents said no to the bike. In real life, taking someone's money is stealing and it's wrong, even if you are upset."
R0074,IIR3,text,lot,Lying|Cat|Stealing,"Bruno kept the cat because he realized it was a true friend who had comforted him when he was crying, unlike his peers who were just acting like bullies. When he saw the cat shivering in the cold rain, his empathy outweighed his desire to fit in with the mean kids.","The story explicitly states that the cat tried to make him feel better earlier, and later Bruno calls it a 'real friend.' I connected this to how, in real life, true loyalty means a lot more than trying to impress fair-weather friends who conditionally accept you.",A great lesson here is that you shouldn't let peer pressure stop you from showing compassion. It is always better to stand up for those who are vulnerable instead of changing your behavior just to be accepted by a certain group.,"I thought of this because Bruno initially abandons the cat just to stop the boys from laughing at him, but then redeems himself by ignoring their threats about basketball to rescue the wet cat. It perfectly illustrates how courage and kindness are more important than popularity in life.","Sarah decides to protect Rachel because the text states they have been best friends since they were toddlers. When you share such a deep, lifelong bond with someone, human nature and loyalty usually compel you to cover for them, even if it means lying to an authority figure.","In the story, Rachel explicitly weaponizes their relationship by whispering, 'Don't tell on me. I'm your best friend.' I combined that with my understanding of social dynamics, where the fear of betraying a close friend or ruining a relationship often overrides following the rules.",A valuable lesson is that blind loyalty to a friend can sometimes put you in a morally compromising situation. It demonstrates how one person's lack of preparation can ultimately drag others into dishonesty.,"I concluded this because Rachel didn't study and resorted to cheating, which unfairly forced Sarah to lie directly to Ms. Craig. In the real world, we frequently see how a friend's irresponsible behavior can test your own personal integrity and put you in a difficult position.","Billy kept the wallet because he wanted the $300 inside to buy the beautiful bike he saw earlier. Since his parents had just told him they wouldn't buy it for his birthday, he let his greed take over and stole the money to get what he wanted.","The text explicitly states that the bike costs $300 and that Billy was mad his dad said no. I know from real life that when people are overly fixated on getting expensive material things, the temptation can push them to make unethical choices like stealing.",A good lesson is that you shouldn't let your desire for expensive things cause you to compromise your morals. Just because Billy's parents wouldn't buy him the bike doesn't give him the right to steal from an innocent woman.,"The story shows Billy lying directly to the woman about her missing wallet just to fund his purchase. In the real world, acting selfishly and stealing from others might get you what you want right now, but it hurts innocent people and is fundamentally wrong."
R0075,IIR3,comic,lot,Stealing|Cat|Lying,"He decided to keep the cat because they both knew what it felt like to be bullied and rejected. The cat comforted him when he was crying earlier, so he realized the cat was a genuine friend, unlike the kids who were just making fun of them.","In the panels, the other kids laugh at both the boy and the wet, shaking cat. From real life, I know that shared hardships can create a strong bond, and it's better to choose a loyal pet who cares about you over toxic friends who only tear you down.",A great lesson is that you shouldn't let toxic peer pressure dictate who you care about. It is always better to stand up for those who are vulnerable and choose true friends over trying to fit in with mean people.,"The comic shows the boy finally ignoring the bullies' threats about not playing basketball so he can rescue the cat. I know from experience that giving in to bullies never makes you truly happy, and finding a real connection is worth far more than popularity.","Sarah doesn't tell the teacher because Rachel specifically reminded her that they are best friends to keep her quiet. Even though Sarah knows cheating is wrong, the real-world pressure to stay loyal to someone you've known since you were a toddler usually overrides following school rules.","The comic explicitly points out they have been best friends since they were little, and Rachel uses that against her. I know from personal experience that middle schoolers face a lot of social pressure, and betraying a close friend feels much worse than covering up a lie.","A good lesson is that true friends shouldn't put you in positions where you have to compromise your own integrity. Rachel's decision to cheat forced Sarah to lie to Ms. Craig, showing how one person's bad choice can drag others down.","I thought of this because the story shows Sarah looking uncomfortable and then lying to the teacher to protect Rachel. In the real world, covering up for someone else's unethical behavior just makes you an accomplice, which isn't fair to the person who actually studied and followed the rules.","Billy kept the lady's wallet because he let his temptation for the $300 red bike overcome his sense of right and wrong. Since his parents refused to buy it for his birthday, he decided to steal the money when he saw a convenient opportunity.","In the story, he explicitly realizes the wallet has the exact $300 he needs for the bike after his parents told him no. I know from the real world that people sometimes make selfish, unethical choices when they let their greed take control of a situation.","The lesson is that you shouldn't let your desire for material things cause you to compromise your morals. Stealing someone else's money and lying to their face, like Billy did for the bike, is wrong no matter how badly you want something.","The comic clearly shows Billy lying directly to the worried lady about her wallet just so he can get his way. I combined that with the universal understanding that stealing and dishonesty are wrong, showing that letting greed dictate your actions is a major character flaw."
R0076,IIR3,text,lot,Lying|Cat|Stealing,"Bruno kept the cat because he realized the cat was a genuine friend who cared about him, unlike the boys who were just bullies.","The text says the cat tried to comfort him when he was crying on the bench. I know from life experience that real friends support you when you're down, while those boys only wanted to control him and make fun of a helpless animal.",The lesson is that you shouldn't give in to peer pressure and that finding genuine friendship is more important than being accepted by people who are mean.,"Bruno eventually gives up the chance to play basketball with the kids because they were bullying the wet cat. This shows that in real life, standing up for someone vulnerable and showing compassion is much better than trying to impress toxic friends.","Sarah stays quiet because Rachel directly uses their long-standing relationship to pressure her, whispering 'I'm your best friend' when she gets caught. Loyalty is a very powerful force, and it is incredibly difficult for most people to snitch on a lifelong friend because they don't want to destroy that deep bond.",The story explicitly states they have been best friends since they were toddlers and shows Rachel begging Sarah not to tell. I connected those details with the real-world understanding that the fear of losing a close relationship often overrides a person's desire to follow the rules or do the right thing in the moment.,"One lesson is that failing to take responsibility for your own actions can put your closest friends in a terrible moral dilemma. Because Rachel chose not to study and cheated instead, she forced Sarah to either lie to her teacher or betray her lifelong friend.","I thought of this because the text shows Rachel dragging Sarah into her mess by whispering 'I'm your best friend' to make her lie to Ms. Craig. From my own experience, I know that when people make bad or selfish choices, it usually has a ripple effect that places an unfair burden on the people who care about them.","Billy kept the wallet because he gave into temptation to get the $300 he needed for the beautiful bike. Since his parents refused to buy it for him, his desperation made him willing to steal the exact amount he needed when the opportunity arose.","The text mentions he saw the $300 inside and immediately thought about the bike he wanted. I know from human nature that when someone feels unfairly denied something they really want, they can sometimes make selfish, impulsive decisions if an easy shortcut presents itself.","A good lesson is that letting greed and disappointment control your emotions can lead you to make poor moral choices, like stealing from innocent people.","The story shows Billy lying to the lady about her missing wallet just because he was mad at his parents and wanted the bike. In the real world, focusing too much on material possessions can push a person to lose their integrity and justify doing something wrong."
R0077,IIR3,comic,none,Stealing|Cat|Lying,Maybe because the cat was nice to him first. The cat sat by him when he was crying. True friends help each other.,The story had kids laughing at the cat. Getting made fun of feels bad. I think he wanted to keep the cat safe.,Don't be mean. And choose real friends over kids who just want to play basketball and laugh at you.,The boy gave up playing to pet the dirty cat. Helping someone in need is what you are supposed to do in real life.,She doesn't want her best friend to get in trouble.,Rachel said she is her best friend. Friends usually don't snitch because they want to stay friends.,You should study so you don't have to cheat.,Rachel didn't study and copied the boy. Cheating is bad and you can get in big trouble at school.,He wanted to buy the red bike.,The book shows he found 300 dollars. People take things that aren't theirs when they want something really bad.,Don't steal stuff.,He lied about the wallet so he could get a bike. Stealing is bad to do in the real world.
R0078,IIR3,comic,lot,Lying|Cat|Stealing,"He kept the cat because he realized it was a much better friend to him than the other kids were. Even though he wanted to fit in and play basketball, the cat actually comforted him when he was crying, while the other kids just acted like bullies.","In the comic, he calls the cat a 'real friend' and chooses it over the kids who were making fun of them. I know from my own life that true friends support you when you're down, just like the cat did, instead of judging you.",A good lesson is to stand up to peer pressure and choose genuine companionship over trying to fit in with the popular crowd.,"I thought of this because he initially yelled at the cat just so the bullies wouldn't laugh at him, which happens a lot in real life when kids want to look cool. But by the end, he ignored their threats about not playing basketball, showing he learned that real loyalty is more important than fitting in.","Sarah doesn't tell the teacher because Rachel explicitly reminds her that they are best friends. Even though Sarah knows cheating is wrong, she probably feels a strong sense of loyalty and doesn't want to ruin a friendship they've had since they were toddlers by being a snitch.","In the comic, Rachel leans over and whispers, 'Don't tell on me. I'm your best friend.' I know from real life that when a close friend pressures you like that, it puts you in an incredibly difficult position where you feel forced to cover for them to save the relationship.",A good lesson is that true friends shouldn't put you in a position where you have to lie to adults or compromise your own integrity to protect them.,"I thought of this because Rachel's decision to cheat forces Sarah to lie directly to Ms. Craig at the end. In the real world, a genuinely good friend wouldn't drag you into their bad decisions and make you risk your own reputation just because they didn't study.","Billy kept the wallet because he saw the $300 inside and realized it was exactly what he needed for the red bike. His parents had just said no to buying it, so he let his temptation and anger override his morals.","In the comic, he specifically thinks 'With that money, I could buy that red bike!' right before lying to the lady. In real life, when people want something really badly and an easy opportunity presents itself, they sometimes make selfish choices to get it.","A good lesson is that you shouldn't steal from innocent people just because you are upset about not getting what you want. Billy was mad at his parents, but taking the lady's money is completely unjustified.","The story shows Billy taking advantage of the lady's mistake to fund his $300 bike because he was mad. I know from experience that acting out of greed when you're angry doesn't actually solve your problems, and stealing someone else's hard-earned cash is always wrong."
R0079,IIR3,text,moderate,Cat|Lying|Stealing,"He kept the cat because he realized the cat was a real friend who actually cared about him, while the other boys were just mean bullies.","The story says the cat tried to comfort Bruno when he was crying, but his friends just made fun of the cat when it was freezing in the rain. I know from my own life that true friends support you, so he chose the cat over playing basketball with those guys.","A good lesson is that you shouldn't give in to peer pressure, and you should choose true friends over being popular.","I thought of this because Bruno's friends threatened to not let him play basketball if he touched the cat. But he ignored them to help the freezing cat, which shows that doing the right thing in real life is more important than fitting in.","Sarah doesn't tell because they have been best friends since they were toddlers, like the story says. In real life, it's really hard to snitch on your best friend because you don't want them to hate you or end the friendship.","The text shows Rachel specifically reminding Sarah they are best friends to stop her from telling. I thought of this because I know friends put a lot of pressure on each other to keep secrets, even bad ones.",A lesson is that peer pressure from friends can make you lie to adults. Sarah ended up lying to Ms. Craig just to protect Rachel's cheating.,"I said this because the story shows Sarah saying 'Nothing is going on' after Rachel tells her to shush. It shows how in real life, being loyal to a friend who is doing something wrong can drag you into their mess too.",Billy kept the wallet because he wanted to use the $300 inside to buy the beautiful red bike after his parents told him no.,"The story says he found exactly $300 in the wallet and said he could buy the bike. Sometimes when people are angry and want something really bad, they get greedy and take things that don't belong to them instead of working for it.",You shouldn't let wanting something make you do bad things like stealing and lying to people.,"I thought of this because in the story Billy lied to the lady about her wallet just so he could buy the $300 bike. In real life, stealing from someone hurts them, and it's wrong to take someone else's money just because your parents won't buy you what you want."
R0080,IIR3,text,little,Cat|Lying|Stealing,He kept the cat because it was a real friend who helped him when he was crying. Also he felt bad because it was cold in the rain and the other kids were bullying it.,The story says the cat tried to make him feel better earlier. Then the boys were being mean to the wet cat. It makes sense he'd save the cat since he knows nobody likes being laughed at.,I think the lesson is to choose nice friends instead of mean ones just to fit in.,Cause Bruno calls the cat a real friend and leaves the guys who play basketball. In real life you shouldn't hang out with bullies who laugh at you or animals.,"Well, Sarah didn't tell on her because Rachel is her best friend. You usually don't want to get your friends in trouble with the teacher.",The story says Rachel whispered 'I'm your best friend' so Sarah would stay quiet. I know from real life that friends try to protect each other so they don't get mad.,I guess the lesson is to not cheat and not put your friends in a bad spot. Rachel didn't study at all and then made Sarah lie to the teacher.,"Because the text says Rachel started copying answers instead of studying. It's wrong to cheat and force your friend to lie for you, since good friends shouldn't do that in real life.","He kept it because he wanted to buy that $300 bike he saw. Sometimes when kids get told no by their parents, they do bad things like stealing to get what they want.","The story says he found exactly 300 dollars and said he could buy the bike. Plus, I know that in real life, sometimes people take money that isn't theirs just so they can buy expensive stuff.",You shouldn't steal from people or lie to them just to get a new toy.,"Well, Billy lied to the lady about her lost wallet so he could buy the bike. Stealing is a crime in real life and it's really mean to take someone's money just because you want something."
R0081,IIR3,text,none,Lying|Cat|Stealing,He keeped the cat because it try to help him when he cry. His friends was just mean bullies so he picked the cat to be a real friend.,The story say the cat wanted to make him feel better and the boys laughed. I know good friends dont make fun of you so he knew the cat is better.,"Pick real friends that care about you, not mean kids. And stand up for animals.",Bruno stop playing basketball to pet the wet cat even when the boys say no. In real life its better to do the right thing than hang out with mean kids.,Because Rachel is her best friend since they were toddlers. You don't want to get your good friends in trouble.,Rachel told her shhh and said I'm your best friend. In real life if you snitch on a friend they will be mad at you.,"You should study for tests. If you don't study like Rachel, you might cheat and that is bad.",The story says Rachel did not study at all and copied a boy. In real school cheating is wrong and gets you in big trouble.,He wants the 300 dollars for the red bike. His dad said no. I guess people do bad things like steal when they are mad.,The story says he opened the wallet and saw the money. I know from real life that kids get greedy when they can't have what they want.,Don't steal other peoples money just cause you want a toy.,Cause Billy lied to the lady and kept her wallet. I know it is wrong and mean to take things that ain't yours.
R0082,IIR3,comic,little,Lying|Stealing|Cat,"He kept the cat because the cat was nice to him when he was sad on the bench. The other kids were just being mean bullies, so he knew the cat is a real friend who actually cares.","In the comic he calls the cat a real friend at the end. I know from real life that true friends don't laugh at you like those kids did, animals just love you for you.",You should stand up for who you care about and not just copy mean people.,I thought of this because the boy pet the cat even when the kids said he couldn't play basketball anymore. It shows that being kind is way better than hanging out with bullies in real life.,Because Rachel is her best friend and told her to shush. Usually you don't want to tell on your friends because you don't want them to hate you or get mad.,"In the comic Rachel says 'I'm your best friend' to make her stay quiet. And I just know from school that nobody likes it when you snitch on them, especially your best friend.",I guess the lesson is that it's really hard to do the right thing when your best friend is the one doing bad stuff like cheating.,"Because Rachel was cheating on the test but reminded Sarah they are best friends. I know cheating is wrong in real life, but getting your friend in big trouble feels really bad too.",He kept it because he saw the $300 in it and wanted to buy the red bike his parents wouldn't get him. I guess sometimes people get really greedy and steal when they want something really bad.,Well the comic shows him looking at the money and saying he can buy the bike. And I know from real life that kids sometimes make bad choices and take things that aren't theirs if they are mad or want a toy a lot.,You shouldn't let wanting something make you steal from other people. Just because his parents said no to the new bike doesn't make it okay to take the lady's money.,In the story he lies to the lady when she comes back looking for it. It's sad because she probably needed her money to pay for things. Stealing just to get what you want is wrong in the real world and hurts people.
R0083,IIR3,comic,little,Lying|Stealing|Cat,"I guess he kept him because he realized the cat was a better friend than the boys, and he knew how bad it felt to be made fun of.","The comic shows the cat sitting by him when he was crying, and later the kids laughed at both of them. Real friends stick together when bullies are being mean to them.",I think the lesson is that you shouldn't let mean people stop you from doing the right thing and being a good friend.,"Well, in the story the kids told him he couldn't play basketball if he petted the cat. But in real life, you shouldn't give into peer pressure, and he chose to be nice instead.",She doesn't tell because Rachel reminded her they are best friends. You normally don't want to snitch on your best friend because they might get mad and end the friendship.,In the picture Rachel whispers 'I'm your best friend' to make her stay quiet. Also I know from real life that telling on friends can ruin the friendship.,"Maybe the lesson is that sometimes your friends put you in a tough spot where you have to lie. Sarah lied to the teacher for Rachel, but lying is bad.",The comic shows Sarah telling the teacher nothing is going on. It makes me think about how protecting a friend can sometimes make you do the wrong thing in real life.,"He kept the wallet because he wanted to buy the $300 red bike. His parents wouldn't get it for him, so he kept her money since people sometimes steal when they get greedy for something they really want.","The comic shows him finding the $300 and thinking about the bike. I know from real life that when people are mad they can't have something, they might do bad things like keeping someone else's cash.",You shouldn't steal just because you are mad you didn't get a present. Taking a lady's money is wrong even if you really want a new bike.,In the story Billy lied to the lady so he could keep the cash. I know stealing is bad in the real world and it hurts the person who lost their stuff.
R0084,IIR3,comic,moderate,Stealing|Cat|Lying,"He kept the cat because he knew exactly how it felt to be laughed at and left out, so he wanted to protect it and give it a real home.","I think this because the comic shows the other kids laughing at both the cat and the boy earlier on. Usually, when people share a sad experience like being bullied, they build a strong connection and want to take care of each other.",You should stand up for those who need help and not worry about what bullies think of you. True friends are way more important than just fitting in.,"In the comic, the boy risked losing his basketball friends when they threatened him for touching the dirty cat, but he helped it anyway. It reminds me that in real life, doing the right thing and protecting someone vulnerable is better than being popular with mean people.","Sarah didn't tell the teacher because Rachel reminded her that they are best friends. In real life, it is really hard to snitch on your close friends because you don't want them to get a zero or be mad at you, so she kept quiet to protect her.",I thought of this because in the comic Rachel actually whispers 'Don't tell on me. I'm your best friend.' I know from school that people usually stick up for their friends even if they are doing something bad like cheating.,"A lesson is that making bad choices like cheating doesn't just affect you, it puts your friends in a bad spot. Rachel didn't study and decided to cheat, which forced Sarah to have to lie to the teacher just to protect her.","The story shows Sarah having to lie to Ms. Craig when she asks if something is going on. It made me think about how in the real world, dragging your friends into your own mess makes them feel stressed and guilty even if they didn't do anything wrong.","Billy kept the wallet because it had exactly $300 in it, which is the price of the red bike he wanted. His parents told him no, so he got greedy and decided to steal her money to buy it.","In the comic it shows the bike costs $300 and his parents refused to get it for his birthday. I know from real life that when people really want something they can't have, they sometimes make bad choices and steal if they find an easy way to get the money.",The lesson is that you shouldn't steal from others or lie just because you want something nice for yourself.,"The story shows Billy lying right to the lady's face about the wallet so he can buy the bike. In the real world, stealing someone's money out of greed is wrong and it hurts innocent people just so you can get a toy."
R0085,IIR3,comic,moderate,Stealing|Lying|Cat,"The red headed boy kept the cat because he understood exactly how it felt to be bullied and laughed at, and he wanted to give the cat the kindness he didn't get.","In the comic, the boy gets made fun of earlier, and later he sees those same kids laughing at the sad, wet cat. I know from real life that when you get picked on, you usually feel empathy for others going through the same thing and want to protect them.",A good lesson is that you shouldn't let peer pressure stop you from doing the right thing and being kind to others.,"The boy's friends threatened to not let him play basketball with them if he touched the dirty cat, but he ignored them and pet the cat anyway. It shows that standing up for someone in need is more important than just going along with mean people to fit in.","Sarah didn't tell the teacher because they've been best friends since they were toddlers, and usually people don't snitch on their closest friends because they don't want to ruin the friendship.","The story points out that they are best friends and Rachel tells her 'don't tell on me'. Plus, everyone knows that if you tattle on your best friend to a teacher, they probably won't talk to you anymore.","A lesson you could learn is that sometimes your friends put you in really tough situations, like when Rachel cheated on the math test and basically forced Sarah to lie for her.","In the comic Rachel says 'I'm your best friend' to make Sarah keep quiet. I know from real life that peer pressure is real, and it's super hard to be honest when it means getting someone you care about in trouble.","He kept the wallet because he saw $300 inside and knew it was exactly enough to buy the red bike his parents said no to. When people really want something, they sometimes let temptation make them do bad things like stealing.",The comic shows him looking at the money and thinking about the bike right after he was mad at his parents. I also know from real life that greed can make people make selfish choices and take what isn't theirs.,"The lesson is that you shouldn't steal or lie just because you are upset about not getting what you want. Billy took the lady's money because he was mad about his birthday, but stealing from an innocent person is always wrong.","I thought of this because the story shows Billy lying right to the lady's face just so he can buy a bike. I know from growing up that taking things that aren't yours makes you a thief, no matter how much you want something."
R0086,IIR3,text,moderate,Lying|Stealing|Cat,"He kept the cat because he realized the cat actually cared about him when he was sad, and the other boys were just bullies.","The story says the cat came to make him feel better on the bench, and the boys just laughed at them in the rain. I know from real life that true friends stick by you when you're hurt, so Bruno saw the cat was a better friend than the kids.",A good lesson is that you should choose true friends over trying to fit in with mean kids.,"Because Bruno's friends were bullying the cat and him, but the cat tried to cheer him up when he was crying earlier. Real friends are people or pets who support you, not bullies who only like you if you follow their rules.","Sarah doesn't tell the teacher because Rachel reminded her that they are best friends. Usually, you don't want to get your best friend in trouble or ruin your friendship by being a snitch.","The story said they have been best friends since they were toddlers and Rachel begged her not to tell. Plus, I know from real life that people are super loyal to their friends and it's hard to get them in trouble.","A lesson is that cheating doesn't just hurt you, it puts your friends in a really awkward spot. Because Rachel didn't study and decided to cheat, she basically forced Sarah to lie to the teacher.","I thought of this because Sarah had to lie to Ms. Craig and say 'Nothing is going on' just to protect Rachel. In real life, it's totally unfair when friends make bad choices and expect you to cover for them.","He kept the wallet because it had exactly $300 in it and he wanted to use it to buy the beautiful bike. His parents said no to buying it for his birthday, and sometimes when people really want something, they let their greed make them steal.","The story says Billy saw the $300 and said he could buy the bike, right after his dad wouldn't buy it for him. I also know from real life that people can get tempted to take things that aren't theirs if it looks like easy money.",A lesson is that you shouldn't steal from others or lie just because you are mad at your parents or want something expensive.,"Billy lied right to the lady's face when she asked about her wallet just so he could get the bike. In the real world, taking someone's money is stealing and it's wrong to hurt someone else just to get what you want."
R0087,IIR3,comic,none,Cat|Lying|Stealing,He kept the cat cause he knows it hurts to be laughed at. The cat was a real friend.,The comic shows the other kids laughing at him and the cat. People who get bullied want to stick together.,It is better to be with true friends than play with mean kids.,The boy chose the cat instead of basketball. Friends shouldn't be mean to you like those kids were.,Because Rachel said she is her best friend. Friends protect friends from getting in trouble.,The story shows Rachel whispering don't tell on me. I know real friends keep secrets so they don't get detention.,Don't cheat on tests. It makes your friends lie for you.,Rachel copied the boy and Sarah had to tell the teacher nothing is wrong. In real life lying gets you in trouble.,He wanted to buy the red bike. His parents said no. Sometimes people steal money if they want something really bad.,The comic shows the wallet has 300 dollars and he wants the bike. I know from real life that people get greedy when they are mad.,Don't steal from people. Billy kept the wallet because he was mad his parents said no. But stealing is a crime and is mean.,"He lied to the lady in the story. I know stealing hurts people in real life, so you shouldn't do it just to buy a toy."
R0088,IIR3,text,little,Stealing|Cat|Lying,"He kept the cat because it was a real friend who tried to comfort him when he was crying. The other boys were just being mean, so he picked the nice cat over them.","Well, the story says the cat sat on his lap to make him feel better before. I know from real life that people who laugh at you aren't real friends, so that's why he called the cat a 'real friend' at the end.","A good lesson is that you shouldn't let mean people tell you what to do. It is better to have a true friend, even if it's a dirty cat, than to hang out with bullies.","Bruno almost left the cat out in the cold rain just so he could play basketball. But in real life, you have to stand up to peer pressure and do the right thing, which is why he helped the cat anyway.","Sarah doesn't tell because Rachel has been her best friend since they were toddlers, and you usually don't want to snitch on your friends because they might hate you after.","In the story Rachel whispered 'I'm your best friend' to stop her. I know from real life that when people do that, they are using the friendship so you keep their secret and they don't get in trouble.",Maybe the lesson is that cheating makes you put your friends in a bad spot.,"The story says Rachel didn't study and copied a kid, and then she told Sarah to shush. In real life, it's not fair to make your friends lie for your mistakes because it makes them feel bad.","He kept it because it had exactly 300 dollars for the red bike. His dad told him no, so he got greedy. People sometimes do bad things like steal when they want something really bad.","The story says he opened the wallet and saw the money for the bike. I thought of this because in real life, kids sometimes lie to get things they want, even if it is wrong.","The lesson is you shouldn't steal or lie just because you are mad. Billy didn't get his new bike, but stealing money from someone is still bad.",In the story he lied right to the lady about her wallet. I thought of this because I know that taking money that is not yours is stealing and it hurts the person who lost it.
R0089,IIR3,text,none,Cat|Stealing|Lying,He kept the cat cause it was a real friend. The cat sat on his lap when he was crying. Real friends help you feel better.,The story says Bruno called him a real friend. I know this cause the cat was nice. Pets make you happy when you are sad in real life.,Don't listen to mean kids. Bruno pet the dirty cat anyway. It is good to stand up to bullies.,"The boys laughed at the wet cat in the rain. That is bullying. You should always help friends who are sad and cold, not just care about playing basketball.",Cause Rachel is her best friend. Friends don't want friends to get in trouble.,The story says Rachel said I am your best friend. Friends don't snitch in real life.,Study for your tests so you don't cheat.,Cause Rachel didn't study and she copied the boy. Cheating is bad and makes your friend lie.,he wants the new bike. the wallet has 300 dollars for it.,"his dad said no to the bike. you have to pay money for stuff at a store, so he took her money to get it.",dont steal money just cause you want a toy.,Billy lied to the lady to keep her 300 dollars for the bike. in real life stealing is bad and you hurt peoples feelings when you take their stuff.
R0090,IIR3,text,little,Stealing|Lying|Cat,"I think he kept the cat cause he realized the cat was actually a good friend to him. The other boys were just mean bullies, but the cat tried to make him feel better earlier.","The story says the cat sat on his lap when he was crying. Usually real friends help you when you're sad, so he chose the cat over playing with those mean kids.","Maybe the lesson is to stand up for your real friends, even if other people make fun of you.","Because the boys said he couldn't play basketball if he touched the cat, but he bent down and did it anyways. It shows that doing the right thing and helping someone in the cold rain is better than just trying to be popular.",Sarah stays quiet because they have been best friends since they were toddlers. Usually kids don't want to snitch on a close friend because they might lose them.,"The story says Rachel whispered 'don't tell on me, I'm your best friend'. I know from school that if you tell on a friend, they get really mad and might not talk to you anymore.","I think the lesson is that friends shouldn't pressure you to do bad things, like lying to a teacher.","Because Rachel didn't study and cheated, she made Sarah lie to Ms. Craig. In real life, true friends wouldn't put you in a tough spot to cover for their mistakes.","He kept it so he could buy the beautiful bike. It cost $300 and the wallet had exactly $300, so he stole it since his dad said no.",The story says he looked in the wallet and saw the $300 for the red bike. I know from real life that sometimes people do bad things like steal when they really want something and can't have it.,I think the lesson is don't steal just because you are mad you can't get what you want.,Because Billy was mad at his parents and lied to the lady about her money. It is wrong to steal other people's stuff just because you want a new toy really bad.
R0091,IIR3,comic,lot,Stealing|Cat|Lying,"Bruno decided to keep the cat because they both understood what it was like to feel isolated and sad. He realized that the cat offered genuine loyalty, whereas his human friends were just being cruel.","The story explicitly shows the cat comforting the boy when he was crying earlier, and later the boy sees the cat shivering and crying in the rain. I know from my own life that shared hardship builds deep empathy, and the unconditional love of a pet is far more valuable than hanging out with bullies.",A good lesson from this story is that you shouldn't let peer pressure dictate your choices. It's more important to be compassionate and find true companionship than to blindly follow the crowd.,"In the comic, the boy's friends try to threaten him by saying he can't play basketball if he touches the cat. This connects to how, in the real world, toxic friends often use peer pressure to control people, but standing up to them is the only way to do what's right.","Sarah keeps quiet because Rachel reminds her that they are best friends, and Sarah decides to prioritize her loyalty to her friend over the teacher's rules against cheating.","In the comic, Rachel specifically whispers, 'Don't tell on me. I'm your best friend.' I know from real-life experience that the fear of losing a close friendship can cause people to cover up bad behavior.",A valuable lesson is that true friends shouldn't manipulate you into covering up their mistakes or put you in an uncomfortable position.,"I thought of this because Rachel completely guilt-trips Sarah into lying to the teacher just because she didn't study. In reality, putting your best friend in an ethical dilemma like that isn't how a healthy friendship should work.",Billy kept the wallet because he saw the money inside and realized it was exactly enough to buy the red bike his parents refused to get for him. He let his temptation override his morals and decided to steal it.,"The comic specifically shows him looking at the cash and thinking about how it's exactly the $300 he needs for the bike. In the real world, when people desperately want something they can't afford and an easy opportunity to take the money appears, they can be easily tempted to do the wrong thing.","A good lesson is that you shouldn't let your anger or desire for material things push you into doing something immoral, like stealing and lying. Just because you can't have what you want doesn't justify taking from others.","In the story, Billy gets mad that his parents won't buy him the expensive bike, so he ends up lying to the lady's face to keep her money. We know from everyday life that letting greed control your actions is wrong and it ends up hurting innocent people."
