respondent_id,profile_level,format,cat_1,cat_2,cat_3,cat_4,lying_1,lying_2,lying_3,lying_4,stealing_1,stealing_2,stealing_3,stealing_4
R0095,IIR3,text,"He kept the cat because he realized the cat actually cared about him and comforted him, unlike the boys who were just making fun of him. He chose a true friend over trying to be popular.","The story mentions the boys were mean to him and the cat, but the cat purred and tried to make him feel better. I know from experience that true friends are the ones who comfort you, not the ones who laugh at you.","You should value people or animals who are actually there for you when you're sad, instead of caring about what bullies think.","Bruno originally pushed the cat away because he was embarrassed by the kids laughing, but in the end he called the cat a 'real friend'. This shows it's more important to stick with someone who supports you instead of trying to fit in with mean kids.",Sarah didn't tell on her because Rachel reminded her that they are best friends. People usually don't want to snitch on their friends because they don't want them to get in trouble or ruin the friendship.,"The story says Rachel whispered 'Don't tell on me. I'm your best friend.' I know that when friends do something wrong, you feel pressured to cover for them to be loyal, even if you know you should tell the truth.","Sometimes doing the right thing is hard when it involves a friend, and cheating can put your friends in a really tough spot.","Sarah had to lie to the teacher because Rachel was cheating and used their friendship as an excuse. In real life, doing something bad like cheating usually ends up dragging your friends down too and making them feel guilty.","Billy kept the wallet because he was mad his parents wouldn't buy him the bike, and he saw it had exactly $300 inside. He let his greed and anger take over doing the honest thing.","In the story, he saw the $300 and immediately thought about buying the red bike instead of giving the wallet back. Sometimes when people are really desperate or mad about not getting what they want, they give into temptation and make selfish choices.",You shouldn't let your anger or wanting something really badly make you do bad things to other people.,Billy stole the lady's money and lied to her face just because his dad said no to buying him the bike. Being jealous or wanting an expensive toy isn't an excuse to steal someone else's hard-earned money.
R0096,IIR3,comic,He kept the cat because he saw it shivering in the rain and realized they both knew what it felt like to be picked on by those mean kids.,"The comic showed the cat trying to cheer the boy up when he was crying earlier, and then the boy saw the cat freezing. Normally when someone helps you, you want to help them back, especially if you are both being bullied.",A lesson is that you should stand up for animals and not let bullies tell you what to do. Being kind is better than trying to fit in.,"The boy stopped caring about basketball with those mean kids and saved the cat instead. In my experience, real friends don't make fun of you or innocent animals, so he made the right choice.","Sarah didn't tell the teacher because Rachel is her best friend and asked her to keep quiet. If you snitch on your best friend in real life, they probably won't be your friend anymore.",In the story Rachel whispers 'I'm your best friend' to make Sarah cover for her. I know that friends usually stick up for each other and keep secrets so they don't get in trouble.,You shouldn't cheat or make your friends lie for you. It puts a lot of unfair pressure on your friends.,"Rachel copied some guy's test and then used her friendship to make Sarah lie to the teacher. I think it's wrong to use people like that, and lying makes you feel super guilty.","Billy kept the wallet because it had the exact $300 he needed for the new bike. Since his parents said no, he decided to just take her money.","He thought about buying the bike when he saw the cash, right after his mom and dad wouldn't buy it for him. Sometimes when people are really mad and want something bad enough, they steal it because it's the easy way out.",You shouldn't steal from innocent people just because you didn't get your way. It's super selfish.,"Billy lied right to the lady's face about her wallet just so he could buy a bike he didn't even really need. Losing your money in real life is awful, and it's wrong to steal just to get a toy."
R0097,IIR3,text,"Bruno kept the cat because he remembered the cat comforted him when he was crying, so he realized the cat was a real friend. He chose to ignore the mean boys because he knew genuine kindness is better than hanging out with bullies.","The text says the boys were laughing at the cat and threatened Bruno about basketball, but Bruno bent down and called the cat a 'real friend'. I know that when someone stands by you when you're sad, you build a strong loyal bond with them.","The lesson is to choose kind friends over fitting in with bullies. Bruno decided to take the cold, wet cat home instead of caring about playing basketball with the kids who made fun of him.","In the story, the cat tried to make the boy feel better when he was crying, but the other kids just laughed. Just like in real life, being popular or playing a game isn't worth it if it means you have to be mean to innocent animals or people.","Sarah doesn't want to get Rachel in trouble because Rachel whispered that they are best friends. People usually protect their close friends and keep their secrets because they don't want to ruin the friendship, even if cheating is wrong.",The text says Rachel told Sarah not to tell on her because they are best friends. I know from experience that peer pressure from friends can make you lie to a teacher because you are afraid of them getting mad at you.,"A lesson is that you shouldn't put your friends in uncomfortable situations. Rachel chose to cheat instead of studying, and then forced Sarah to lie to Ms. Craig, which isn't what a real friend does.","The story shows Rachel dragging Sarah into her cheating mess by bringing up their friendship. In the real world, true friends respect your honesty and wouldn't make you cover for their bad choices just so they can get a good grade.","Billy kept the wallet because he saw it had exactly $300, which is how much the red bike cost. His parents had just told him they wouldn't buy it, so he let his greed take over when he saw the money.","The story says his dad told him no, and then he found the wallet with the exact amount he needed. In real life, when people get rejected and feel angry, they can act impulsively and steal if the perfect opportunity is right in front of them.",The lesson is that you shouldn't steal from innocent people just because you can't have what you want. Billy lied right to the lady's face just so he could get a fancy new bike.,"Billy's parents said he already had a nice bike, but he was selfish and took the lady's wallet anyway. In the real world, stealing someone else's money causes them a lot of stress, and it's not fair to hurt others just to get a material thing you don't even need."
R0098,IIR3,text,He kept the cat because he realized it was a 'real friend' who helped him when he was crying. He finally saw that playing basketball with bullies wasn't worth leaving a helpless animal in the freezing cold.,"The text says the boys were laughing at the shivering cat, but Bruno bent down and called it his real friend. It makes sense because nobody wants to hang around toxic people, and animals can be super comforting when you are sad.",It's better to stand up for those who actually care about you than to follow the crowd just to fit in.,"The story shows the boys making fun of Bruno, but the cat actually comforted him earlier. In real life, true friends don't bully you or give you ultimatums like those boys did.","Sarah doesn't tell because Rachel is her best friend and asked her not to. Normally, kids don't want to snitch on their close friends because it would ruin their friendship, even if they know cheating is wrong.",In the text Rachel whispers 'I'm your best friend' right before the teacher asks what's going on. I know from being in school that loyalty to your friends is a big deal and people are scared to lose them.,A lesson is that you shouldn't let your friends pressure you into covering up their bad choices.,Sarah lies to the teacher just to protect Rachel because of what Rachel whispered. It shows how peer pressure can make a good person do the wrong thing to keep a friend.,"Billy kept it because he saw the $300 inside and knew it was exactly enough to buy the red bike. Since his dad already said no, his greed and temptation made him steal it.","In the story he says 'With that money, I could buy that red bike!' when he opens it. Whenever someone gets denied something they really want, they can easily get tempted to take the easy, dishonest way out if the opportunity is right there.",You shouldn't let your selfishness cause you to steal from innocent people just because you are mad you can't get what you want.,"Billy was mad his dad said no, so he stole a lady's wallet to get a fancy bike. That's super selfish because he only thought about getting a toy, not about how much that lady probably needed her money for important things like bills."
R0099,IIR3,text,He kept the cat because he realized the cat was actually a much better friend to him than the boys.,"In the beginning, the cat tried to comfort Bruno when he was crying, but the other boys just laughed at him and the cat. It makes sense because anyone would rather have a loyal pet than hang out with kids who make fun of you.",A good lesson is that you shouldn't let toxic friends control you or tell you what to do.,"Bruno's friends were making fun of him and being super mean to the cat in the rain. Usually real friends don't act like bullies and make you choose, so Bruno stood up to them and chose the cat.",Sarah doesn't tell the teacher because she doesn't want to betray Rachel and ruin their friendship.,"The text points out they have been best friends since they were toddlers. In real life, if you snitch on someone you've known your whole life, it will probably destroy the friendship forever, so Sarah just covered for her.",Sometimes peer pressure makes it really hard to do the right thing.,Rachel decided to cheat on the test and then used the 'I'm your best friend' card to make Sarah stay quiet. It shows that friends can put you in awkward situations where you feel forced to lie to a teacher.,He kept the wallet because he saw it had exactly the $300 he needed to buy that beautiful red bike.,"The story says the bike cost $300 and his parents refused to buy it. When people get super desperate or jealous for something they can't afford, sometimes they make bad choices and steal, which is exactly what Billy did when he found the money.",You shouldn't steal from other people just because you can't get what you want.,"Billy's dad told him he couldn't get the new expensive bike for his birthday. But instead of just accepting it like a normal person, he kept the lady's wallet. It shows how greed can make you do bad things."
R0100,IIR3,text,"He kept the cat because it comforted him when he was crying earlier, and he realized the cat was a true friend compared to those boys who were just making fun of them.","Even though the mean boy said he couldn't play basketball if he touched the cat, Bruno bent down and called it a 'real friend'. When people see someone cares about them, they protect them back.","You shouldn't care about fitting in with bullies, and instead you should appreciate the ones who actually care about your feelings.","The boys were laughing at the cold wet cat and making fun of Bruno, but Bruno ignored their threats because he knew having a loyal friend is better than hanging out with mean kids.","Sarah didn't tell on her because they've been best friends since they were toddlers, and usually kids don't want to snitch and get their best friend in trouble at school.","The story says Rachel whispered to not tell on her because they are friends, and in real life loyalty makes people cover up bad stuff like cheating so their friends don't get zeros.",A lesson is that peer pressure from your close friends can make you lie to adults even if you know they are doing the wrong thing.,"Sarah noticed Rachel didn't study and was copying the kid in front of her, but she still lied to Ms. Craig because it is really hard to stand up to your friends.","Billy kept it because it had exactly $300 inside, which is the exact amount of money he needed to buy that beautiful red bike since his parents said no.","The story said the other boy bought the bike for $300. When kids get told no by their parents, they sometimes look for sneaky ways to get the money themselves, like taking a lost wallet.","When you really want something and get jealous, it can make you do bad things like stealing from innocent people.","His dad told him he didn't need the expensive bike, so Billy let his anger and greed for the $300 make him lie to the lady's face, which happens when people are being selfish."
R0101,IIR3,comic,"The red headed boy kept the cat because he realized the cat was a real friend who cared about him, unlike those other kids who were just bullies.","In the comic, the cat comforted him when he was crying on the bench. When people treat you badly, you tend to bond with animals or others who know what it feels like to be left out.",It's better to be kind and do the right thing instead of giving in to peer pressure.,"At first he pushed the cat away because he hated being laughed at by the group, but then he adopted it anyway. It takes a lot of courage to ignore what bullies think and help a stray animal.","Sarah doesn't tell the teacher because Rachel is her best friend and asked her not to, so she protected her instead of following the rules.","The story says they've been friends since they were little, and Rachel whispers for her not to tell. In real life, it's really hard to snitch on your best friend because you don't want them to hate you.",You shouldn't put your friends in a bad situation where they have to lie for you.,Rachel cheated and then made Sarah keep her secret from the teacher. I know that having to cover up for a friend's bad choices makes you feel super guilty and stressed out.,"Billy kept the wallet because he wanted the $300 inside to buy the red bike he saw at the beach, even though taking it is stealing.",The comic shows him opening the wallet and saying he can buy the bike. People sometimes make bad choices and take things when they are desperate for something they can't afford.,You shouldn't steal from other people just because you are mad you didn't get what you wanted.,"Billy was mad his parents said no to the bike, so he lied to the lady about finding her wallet. But taking things that aren't yours is selfish and that lady probably really needed her money."
R0102,IIR3,text,"He kept the cat because he realized the cat was actually a real friend who comforted him when he was crying, unlike the other boys who were just being mean bullies.","Bruno calls the cat a 'real friend' right before he takes him home in the story. I also know that animals can love you no matter what, while kids at school can be fake friends who just care about looking cool.","It's better to stand up to bullies and stick with whoever really cares about you, even if they aren't popular.","The kids gave Bruno an ultimatum that he couldn't play basketball if he touched the cat, but he did it anyway. Just like in real life, you shouldn't let peer pressure stop you from doing the right thing and showing kindness.",Sarah doesn't tell the teacher because Rachel reminded her that they are best friends. Friends usually protect each other and don't want to get their friend in trouble or ruin the friendship.,The story says they've been best friends since they were toddlers and Rachel whispers not to tell on her. I know from my own life that nobody wants to be a snitch on their best friend because it feels like a betrayal.,A good lesson is that true friends shouldn't put you in a bad situation where you have to lie and cover up for their bad choices.,"Rachel made Sarah lie to Ms. Craig just so she wouldn't get a zero on the test. In the real world, fake friends will use the 'best friend' card to peer pressure you into doing something wrong.","He kept the wallet because it had exactly 300 dollars in it, which was the exact amount he needed to buy the beautiful red bike his dad refused to get him.","In the text Billy literally says 'With that money, I could buy that red bike!' Plus, I know that when kids really want a toy but their parents say no, they can get desperate and temptation makes them steal.",Just because you can't have something you really want doesn't mean you should steal from innocent people.,"Billy was mad at his parents, but he ended up taking a lady's wallet and lying to her face. It shows that in real life, letting your anger and greed control you over a material thing just hurts other people."
R0103,IIR3,text,"Bruno kept the cat because the cat actually comforted him when he was crying, while the other boys just bullied him and the cat.","The story says the cat tried to cheer him up when he was sad, but the boys made fun of him and said he couldn't play if he touched the dirty cat. True friendship is based on caring for each other, not peer pressure, so Bruno chose the cat who was actually there for him.",Doing the right thing and being kind is more important than trying to act cool to fit in with bullies.,Bruno gave up playing basketball with the boys to take the freezing cat home. People who give you ultimatums to be mean to innocent animals aren't real friends anyway.,Sarah didn't tell on Rachel because they have been best friends since they were little toddlers and she didn't want to get her in trouble.,"The text says Rachel whispered 'Don't tell on me. I'm your best friend.' When you have a really close friend in real life, you usually feel loyal to them and it's super awkward to snitch on them to a teacher.",It is wrong to use your friendship to guilt someone into covering up your own bad choices.,"Rachel decided not to study and cheated, and then she used her friendship to make Sarah lie to Ms. Craig. It's not cool to trap your friends into lying for you just because you were lazy.","He kept the lady's wallet because it had exactly $300 in it, which was the exact amount he needed to buy that beautiful bike he saw earlier.","The story says his dad said no to buying him the bike, and then he saw $300 in the lady's wallet. In real life, when people get rejected for something they are obsessed with, they sometimes make bad choices and steal when they see easy money.",You shouldn't let your obsession with material things cause you to steal from innocent people.,Billy was so mad about his parents not getting him the bike that he lied to the lady and kept her money. Stealing to get what you want just hurts others who probably worked hard for their money.
R0104,IIR3,comic,"He kept the cat because he knew exactly what it felt like to be laughed at by the other kids. When he saw the cat shivering in the rain, he felt empathy for it and decided to give it a real home.","In the comic, the boy was crying on the bench and the kids made fun of him, and then they did the same exact thing to the cat. I know that going through hard times yourself can make you care more about animals who are also having a hard time.","You should do the right thing and be kind, even if your friends are being mean or might make fun of you for it.","The boy told the other kids he didn't care if they wouldn't let him play basketball, and he pet the cat anyway. Real courage is standing up to peer pressure to help someone who needs it.","Sarah didn't tell on her because Rachel is her best friend since they were toddlers and asked her to keep quiet. It is really hard to snitch on your best friend because you don't want to ruin the friendship, even if they are breaking the rules.","The comic says they've been friends forever, and Rachel whispers that she's her best friend so she won't tell. I know from school that kids usually protect their friends because losing a close friend feels worse than someone cheating on a test.",A true friend wouldn't put you in a bad situation where you have to lie to a teacher to protect them.,"Rachel didn't study at all and then used Sarah to get away with cheating. In life, good friends should do the right thing themselves instead of making you feel guilty and forcing you to cover for their own mistakes.","Billy kept the wallet because he saw the 300 dollars in it, which is exactly how much the red bike costs. Sometimes when kids really want something they can't afford, they do bad things like stealing instead of doing the right thing.",The comic showed him looking at the money thinking about the bike right after his parents said no. I know from real life that greed can make people ignore their conscience and do things they know are wrong.,"You shouldn't steal from people just to get what you want, because it is selfish and really hurts others.","Billy lied right to the lady's face while she was upset looking for her wallet. In the real world, stealing someone's money causes them a lot of stress just so you can have a toy you wanted."
R0001,IIR0,comic,Because cats are black.,The cat in the picture is black.,I dont know.,I just dont know it.,I don't know.,because.,lockers are grey.,they are standing by the lockers in the hall.,Idk.,im not sure what he did.,Ice cream tastes good.,They were eating ice cream at the table.
R0002,IIR0,comic,Because cats are animals.,I learned about cats in science class.,Basketball is a fun sport.,The kids said they wanted to play basketball.,I don't know.,I'm not really sure.,Math tests take 40 minutes.,The teacher said it in the speech bubble.,I don't know.,I just guessed.,You should eat ice cream.,He was eating ice cream at a table in the story.
R0003,IIR0,comic,i dont know,just guessing,dogs are better than cats,i have a dog at home,because she is sitting at her desk,the picture shows her sitting,idk,nothing,he wanted to eat ice cream,it said he went to the ice cream shop,red bikes are cool,i like red
R0004,IIR0,comic,because his hair is red.,the comic says he is a red headed boy.,cats say meow.,I have a cat at my house.,she was taking a math test.,it says they are in math class.,idk,i just dont know,i dont know why he kept it.,because he just did.,bikes have two wheels.,i saw a bike in the picture.
R0005,IIR0,text,Because dogs are better than cats anyway.,Dogs like to play fetch outside.,I don't know.,I just don't know.,Because she is using a pencil.,You need a pencil to bubble in the answers.,Math is really hard.,I don't like taking math tests at school.,I don't know.,I didn't really get that part.,You can get ice cream when you want.,Ice cream is my favorite food.
R0006,IIR0,comic,Because the cat is black.,I saw that the cat was black in the drawing.,I don't know.,I couldn't think of anything.,Because she has a blue backpack.,I saw it on the first page.,That math tests are bad.,I don't like taking math tests at school.,I don't know why he did that.,The story didn't really say.,You should eat ice cream.,He was eating a red ice cream cone at the table.
R0007,IIR0,text,Cats like to eat fish.,My grandma has a cat that eats fish.,I dont know.,I just dont.,Because math is hard.,I have a math test tomorrow.,Nothing.,idk,I dont know why he did it.,because I wasn't there.,Ice cream is cold.,It melts if you dont eat it fast.
R0008,IIR0,text,Because my aunt has a bunch of cats at her house.,I was thinking about my aunt's cats.,I don't know.,I really have no idea.,because they are in middle school.,the story said they are in middle school right now.,I dont know.,im not sure what lesson it is.,I don't know.,I just don't know what the answer is.,that ice cream is really good,because he went to an ice cream shop
R0009,IIR0,comic,I don't know.,I just didn't know the answer to it.,Cats say meow.,Because there is a cat in the pictures.,Because she has a blue backpack.,I saw it in the drawing.,Nothing really.,I don't know what the lesson is supposed to be.,Because the wallet is black.,It shows a black wallet with money.,Bikes have two wheels.,He rides a bike at the start.
R0010,IIR0,text,I dont know.,I just dont know the answer.,Always feed your pets.,I have a dog at home.,Because she is bubbling the answers.,I read it in the story.,Math is really hard.,I dont like math class.,Because ice cream is sweet.,He was eating ice cream outside.,I don't know what the lesson is.,Because I didn't understand the story.
R0011,IIR0,comic,I dont know.,I just guessed.,Cats are animals.,Because I learned about animals in science class.,I dont know.,The story didnt say.,We wear backpacks to school.,She had a backpack in the picture.,He wanted to eat ice cream.,I like eating ice cream too.,idk,im not sure
R0012,IIR0,text,I dont know.,because I didnt write the story.,basketball is fun.,I play it at recess.,I don't know.,cause it doesnt say,math is hard,I take math and I dont like it,I dont know why he did that.,Im just guessing.,always wear a helmet,my dad makes me wear one so I don't hurt my head.
R0013,IIR0,comic,Idk,nothing,Dogs are better than cats.,I have a dog named buster.,I dont know.,I just guessed.,you should always eat your vegetables.,my mom tells me that everyday.,Because he likes to play video games.,i play xbox.,I don't know.,i really dont know.
R0014,IIR0,text,I don't know.,idk,Basketball is a really fun sport.,I play it with my friends sometimes.,I have no idea.,I just don't know.,Math tests are 40 minutes long.,The teacher said you have 40 minutes.,Because he was at the ice cream shop.,The story talked about him eating ice cream outside.,Bicycles have two wheels.,I have a bike at home.
R0015,IIR0,text,because he has red hair.,the story said his hair was red so thats why.,i don't know.,i just couldn't think of anything.,idk.,idk.,that math tests are 40 minutes long.,the teacher told them they have 40 minutes.,because ice cream is really good.,he was eating ice cream outside at the table.,bikes cost 300 dollars.,the boy with the beautiful bike said it.
R0016,IIR0,text,I don't know.,I didn't understand it.,Basketballs are bouncy and orange.,I play basketball sometimes.,She likes to eat lunch.,I am hungry right now.,Math tests have a lot of numbers on them.,We do math in school every day.,I have no idea.,I just don't know the answer.,You can buy ice cream at the shop.,Because I like vanilla ice cream.
R0017,IIR0,text,I dont know why.,I just dont know.,always wash your hands.,the kid told him to wash his hands before playing.,I dont know.,I cant think of anything.,you need 40 minutes to finish tests.,because the teacher said they have 40 minutes.,He likes riding his bike to the beach.,he rode his bike there at the start of the story.,i dont know any lessons for this.,im just not sure what it means.
R0018,IIR0,comic,I don't know.,I just don't know.,Black cats are bad luck.,My mom told me that once.,Because her shirt is pink.,I saw it in the picture.,I don't know.,I didn't understand the story.,Because he likes ice cream.,He was eating it at the table.,Bikes are really fast.,The boy was riding a bike.
R0019,IIR0,text,Because it was raining.,It says the cat was sitting in the rain getting wet.,Basketball is a fun sport to play.,The boys were talking about playing basketball.,Because the teacher was there.,The story says the teacher was passing out tests.,idk,because I don't know what the lesson is.,I don't know.,I just don't know why he did it.,Ice cream makes you feel better.,Billy said it when he sat at the table with his ice cream.
R0020,IIR0,text,I don't know why he did it.,It just doesn't make sense to me.,Dogs are way better than cats.,I have a dog and he is fun to play with.,I dont know.,I just dont know.,You should always use a number 2 pencil on math tests.,My teacher always tells us to use pencils when we have to bubble things in.,Because wallets hold credit cards and ID cards.,My mom puts her cards in her leather wallet.,I dont know.,I cant think of any lesson for this.
R0021,IIR0,comic,Cause cats say meow.,I have a dog at home that barks.,Dont play basketball when it is raining out.,I dont know I just guessed it.,Idk maybe she just forgot to say it.,Because I forget things too sometimes.,Math is really hard sometimes.,Cause they are in a math class doing stuff.,Because he likes to eat ice cream.,The ice cream cone was big in the drawing.,"I dont know, bikes are cool.",Cause the boy had a bike in the first picture.
R0022,IIR0,comic,because he was sitting on a bench,the picture showed him on the bench,i dont know maybe dont play in the rain,the cat got wet in the rain,i dont really know,she just didnt do it,you should always do your math homework,they had a test on the board,idk,i just dont know the answer,ice cream is good,i like ice cream too
R0023,IIR0,comic,i dont know.,i just dont know the answer to this.,cats live outside sometimes.,i saw the cat walking on the street in the comic.,she is taking a math test.,it said they were in math class on the first page.,lockers are usually gray.,i saw them standing by the lockers in the beginning.,because bikes cost 300 dollars.,it said 300 in the talking bubble.,i dont really know.,im just not sure what to write.
R0024,IIR0,text,idk,im not sure,Basketball is a fun sport to play.,Because the boys were talking about playing basketball.,Because they are in middle school.,The story says they are in middle school.,I don't know.,I just really don't know the lesson.,Because bikes have two wheels.,I ride a bike and it has two wheels.,Ice cream makes you feel better.,Billy said that in the story so I just put that.
R0025,IIR0,text,Because his hair is red.,It said he was a red headed boy.,I don't know.,idk,I don't know.,I just don't know why she did that.,Math tests are 40 minutes long.,It said that in the story.,Because he was eating ice cream.,The story said he had ice cream.,I dont know.,I just dont know.
R0026,IIR0,comic,because cats eat mice,i saw a cat catch a mouse at my house once,i dont know,i couldnt think of anything,i dont know why,the story didnt tell me,you need to bring a pencil,they are using pencils in the picture,cause he was eating ice cream,it showed him sitting with ice cream,always wear a helmet,my mom makes me wear a helmet when I ride my bike
R0027,IIR1,comic,Because he wanted to be its real friend and take it to his home.,He pet the cat and said 'Hey there real friend' and told the cat he would take it home.,Don't laugh at the cat when it is wet and shaking.,The other kids were being mean to the cat and calling it a stinky cat in the rain.,Because Rachel whispered to her to not tell on her.,Rachel said 'Don't tell on me. I'm your best friend' when Sarah looked at her.,You shouldn't copy off the kid in front of you.,The teacher said no cheating and Rachel was looking over the shoulder of the kid to copy his test.,He kept it because he wanted the 300 dollars to buy the red bike.,"In the comic he opens the wallet and says 'With that money, I could buy that red bike!'",Don't lie about finding someone's wallet.,The lady asked if he saw her wallet and he lied and said he didn't know where it was.
R0028,IIR1,comic,Because he saw that the cat was sad and wet in the rain.,The words in the comic say 'The red headed boy saw how sad the cat was' and then he said he is taking it to his home.,Don't let other kids laugh at dirty cats.,"The other kids were laughing at the cat and calling it a stinky cat, but then the boy told them he would pet the cat anyways.",Because Rachel told her not to tell on her since they are best friends.,In the comic Rachel whispers to Sarah and says 'shhhhh. Don't tell on me. I'm your best friend'.,You shouldn't cheat on your math test.,Because the teacher wrote 'No cheating' on the chalkboard and Rachel copied answers anyway.,Because it had $300 in it and he wanted to buy the red bike.,"When he opened the wallet he said 'Wow, is this really $300? With that money, I could buy that red bike!'",Don't lie about taking a wallet that isn't yours.,"Billy grabbed the lady's wallet after she forgot it and then he told her 'No, I don't know where it is.'"
R0029,IIR1,comic,He kept the cat because he saw how sad the cat was in the rain and he decided to be its real friend.,The story literally says 'The red headed boy saw how sad the cat was' and then he tells the cat he is going to take it to his home.,You can take a dirty cat home even if other kids tell you that you can't play basketball with them anymore.,"Because the mean kids said they wouldn't let him play basketball if he touched the cat, but he bent down and pet the cat anyways.",Because Rachel whispered to Sarah to shhhhh and not to tell on her.,"The speech bubble shows Rachel telling her not to tell because she is her best friend, so Sarah just tells Ms. Craig nothing is going on.","If someone asks if something is going on during a test, you can say nothing is going on and continue taking your test.","Because after Sarah tells the teacher nothing is going on, the box at the bottom says Sarah continues taking the test without looking up again.",He kept it because he saw the $300 inside it and wanted to use it to buy the red bike.,"In the comic he opens the wallet and says 'Wow, is this really $300? With that money, I could buy that red bike!'","If you need 300 dollars for a beautiful red bike, you can tell the lady you don't know where her wallet is.","Because Billy wanted the bike his parents wouldn't buy him, and when he found 300 dollars in the lady's wallet he kept it and said he didn't know where it was."
R0030,IIR1,text,Because he saw the cat was sad in the rain and decided the cat was a real friend.,"It said Bruno saw how sad the cat was, so he pet it anyways and told the cat he was taking him to his new home.",You can pet a dirty cat even if other boys won't let you play basketball with them.,"Because one of the boys said he couldn't play basketball if he touched the cat, but Bruno bent down and pet it anyways.",Because Rachel whispered to her to not tell on her.,"The story says Rachel told Sarah shhhh and said she was her best friend, so Sarah told the teacher nothing is going on.",To not look over the shoulder of the kid in front of you on a math test.,Because Rachel didn't study and was copying the other kid's answer sheet when she was supposed to just do her own test.,Because he opened the wallet and saw $300 inside of it and he wanted to buy the red bike.,In the story Billy said to himself that with the $300 he could buy the red bike he wanted.,"If a lady forgets her wallet at the ice cream shop table, you shouldn't grab it.",Because Billy grabbed the wallet the lady left and when she asked for it he lied and said no.
R0031,IIR1,comic,Because he saw how sad the cat was in the rain and decided to take him to his home.,"It says the red headed boy saw how sad the cat was, so he walked over to it and pet it.",You can pet a cat even if other kids say you can't play basketball with them.,"The boy in the blue shirt said he wouldn't let him play basketball if he touched the dirty cat, but he did it anyways.",Because Rachel told her shhhhh and said she is her best friend.,The comic shows Rachel whispering to Sarah not to tell on her because they are best friends.,You shouldn't copy the answer sheet of the kid sitting right in front of you.,Because Rachel didn't study and the story says it looks like she is copying his answer sheet.,Because he wanted to buy the red bike and the wallet had $300 in it.,In the story Billy looks in the wallet and says with that money he could buy the bike.,Don't leave your wallet on the table when you get ice cream.,Because the lady forgot her wallet and then Billy grabbed it.
R0032,IIR1,text,Because he saw that the cat was sad and cold in the rain.,"The story says he saw how sad the cat was, so he called it a real friend and took it home.",You can take a dirty cat home even if other boys laugh at you.,Because Bruno bent down and pet the cat anyways when the boys said he couldn't play basketball.,Because Rachel is her best friend and told her not to tell.,Rachel whispered to Sarah to not tell on her because she is her best friend.,Don't copy the answers of the kid sitting in front of you.,Because Rachel didn't study so she just copied the kid's answer sheet.,He kept it so he could buy the beautiful bike.,Because he opened the wallet and said that with that money he could buy the red bike.,You shouldn't take a lady's wallet to buy a red bike.,In the story Billy grabbed the lady's wallet because it had 300 dollars and he wanted the bike.
R0033,IIR1,text,He kept the cat because he saw it was sad and shaking in the rain.,The text says the red headed boy saw how sad the cat was and bent down to pet it.,Don't be mean to the dirty cat and laugh at it.,Because the boys were being mean to the cat and calling it a stinky cat while it was cold and wet.,Because Rachel whispered to her to not tell on her.,In the story Rachel says don't tell on me I'm your best friend.,You should study for your tests instead of copying.,Because Rachel didn't study for the test at all and had to look over the kid's shoulder.,He kept it so he could buy the $300 bike.,The story says he opened the wallet and said with that money he could buy the red bike.,You shouldn't leave your wallet on a table.,Because the lady forgot her wallet at the ice cream shop and Billy grabbed it to take her money.
R0034,IIR1,comic,He kept the cat because he saw how sad the cat was in the rain.,The text says 'The red headed boy saw how sad the cat was' and then he tells the cat he is taking it to his home.,You can pet the cat anyways even if the other kids won't let you play basketball.,"Because the other kid said he wouldn't let him play basketball, but the red headed boy bent down and pet the cat anyways.",Sarah doesn't tell because Rachel is her best friend and told her to shhhhh.,There is a bubble where Rachel whispers 'Don't tell on me. I'm your best friend' to Sarah.,Don't copy the answer sheet of the kid sitting right in front of you.,Because it says Rachel didn't study at all and Sarah sees her copying his answer sheet.,Billy kept the wallet because he wanted the 300 dollars to buy the red bike.,"In the comic he opens the wallet and says 'With that money, I could buy that red bike!' after his parents said no.",Don't take a lady's wallet from the table next to you.,Because Billy grabbed her wallet and then told the lady he didn't know where it was.
R0035,IIR1,text,Because the cat was sitting in the rain wet and shaking and he called the cat a real friend.,It says in the text that Bruno saw how sad the cat was and told the cat he was going to take him to his new home.,If you find a dirty cat on the street you can take it home to be your friend.,"Because the other boys made fun of the cat and said they wouldn't play basketball with Bruno, but he took the cat home anyways.",Sarah doesn't tell because Rachel whispered to her to not tell on her since they are best friends.,The story says that Rachel told Sarah to shhhhh and reminded her she is her best friend right before the teacher asked.,You shouldn't copy off of other kids tests even if you didn't study.,Because Rachel didn't study at all and then she looked over the shoulder of the kid in front of her to copy his answers.,He kept it because it had 300 dollars inside and he wanted to buy the beautiful red bike.,I think that because Billy opened it and said with that money he could buy the bike he asked his parents for.,"If your dad says no to a new bike, you shouldn't lie to a lady and take her wallet.","Billy's dad said he didn't need an expensive bike, so Billy got mad and grabbed the lady's wallet at the ice cream table."
